Pseudo Rapidity of 0n0n:	Pseudo Rapidity of 0nXn:	Pseudo Rapidity of XnXn:
-3.88326	-4.48478	5.49499
-5.50044	-3.51832	-7.44727
-3.4706	4.42712	6.9892
4.66811	3.60274	7.25696
3.19176	-3.88436	-6.52339
1.99183	-3.7666	8.0653
-3.12032	-3.97007	7.16568
-3.7779	3.83483	-5.33703
3.10379	4.3817	7.10481
2.51827	-3.83497	-7.39198
-2.92265	3.90399	6.50049
1.67416	-4.08493	-6.16581
-1.90019	-3.70816	8.10299
-2.47191	4.28518	-6.47036
2.46138	4.00171	5.95692
2.95015	-4.3866	5.15632
-1.95119	4.31648	-5.31359
-5.76844	4.27188	6.94273
1.50583	6.3048	-7.10449
-1.19735	-3.0053	-6.44843
-0.715416	3.75776	-6.67129
-0.917319	3.74941	5.74131
2.37885	3.90758	-6.10735
-1.97216	4.4179	8.23023
-2.54676	-3.93504	7.04022
-1.05431	-3.52916	-7.11434
2.32308	-3.01608	7.54685
3.18093	2.45649	-6.21142
-3.91287	-6.2853	-7.40446
-4.03936	1.43048	-6.73846
2.5981	3.33146	8.01585
-1.48149	-3.69349	7.02613
-3.57403	-4.46131	-6.46947
1.82981	-3.98594	7.96313
-2.80389	-3.87818	6.05533
-1.81738	3.45788	-7.42035
-0.641049	3.29367	-7.21369
1.1373	-3.65197	-6.98291
-2.88839	-3.7875	-7.86796
-2.32406	3.84382	6.86572
-0.940824	3.60101	-7.21347
-1.60208	4.61409	-7.61342
2.14296	4.36087	-6.19341
-2.80978	-3.43204	7.52772
2.53049	3.24875	-7.14658
-4.04467	-2.91389	-7.6087
0.636835	-3.76179	-6.75045
2.40827	-4.17838	7.43738
1.74312	-4.7058	6.57784
0.614258	3.71605	-7.03866
-1.86778	-1.75161	3.51413
1.6083	1.33113	5.47825
2.16146	2.99138	6.98454
-2.81473	5.66464	7.05352
3.33717	-3.67474	-6.51118
2.99967	-3.66824	-7.09353
-3.05486	-6.31725	-6.60464
-1.71607	-1.42188	7.79457
-2.14556	-4.68961	5.46048
0.875557	-1.43565	-5.41669
-2.92642	2.01109	-7.20455
-1.72796	3.67888	-6.01327
0.449432	-3.76317	-3.08752
-3.14113	3.9088	4.43015
-3.3223	4.47783	-6.2111
-2.44628	2.86284	7.12741
-3.85069	3.67206	-5.24109
-4.15433	2.90046	3.77007
-1.47525	4.91143	4.85136
-2.70729	-2.58291	5.98958
-3.62796	3.13781	-7.80099
3.33547	3.92846	7.0808
3.00681	4.13874	-6.60365
-2.10543	-3.33288	-4.36454
-3.62866	-4.3163	-6.17503
-2.86801	-4.78405	-5.14725
0.68288	4.19051	5.52138
-4.65353	-3.77177	5.55147
-4.08345	4.21877	-5.62933
-3.03132	-4.21071	-5.06985
4.07492	-4.55861	-6.12253
6.26511	-3.17857	5.18702
5.05207	3.77977	-3.47632
-5.44899	-3.49817	-5.04744
-6.77789	4.38268	1.70871
-5.24904	-4.29432	-6.89587
2.9909	-4.31406	6.23325
2.81364	-4.91558	-5.36657
4.44313	4.53067	6.44887
-3.99417	4.10909	-5.72026
5.55903	4.79114	-6.04794
-6.28976	5.29295	-7.05116
-3.23523	-4.4391	7.3253
-7.06486	4.71413	6.38908
-5.20833	-4.38745	6.78559
-5.1273	4.66578	-6.31693
7.64165	-4.40559	-6.53459
-6.29235	3.88371	7.63294
5.68527	-3.53063	7.51576
6.2067	-4.70144	6.66216
-6.30423	7.69648	6.82139
5.23055	-9.32319	-6.29765
6.10358	-6.89224	8.40794
-5.28783	8.03186	-6.94792
5.49911	5.65865	6.44934
-4.85447	6.07772	6.77155
4.86253	4.02548	-6.80443
5.40949	4.56451	7.30938
6.56423	5.31226	7.16098
4.94796	-5.45177	7.7474
-4.33013	4.66912	7.20392
-7.0664	5.58105	7.3076
-5.59039	3.49612	-6.9228
-5.59031	-4.35604	-7.10202
6.1199	-5.20739	-5.22974
-6.2832	4.71133	-5.44419
6.09377	5.46068	-6.07097
7.54395	-4.90768	-7.57564
5.50127	-4.64554	6.81518
6.19	5.40835	7.43922
5.10415	-5.31828	-7.29558
5.68315	4.75064	-6.38805
-7.48224	5.0649	5.77719
5.43705	-4.97894	5.76452
-6.2005	-4.99145	-6.86846
6.61372	-5.11757	7.58635
-6.04206	4.61074	-7.58547
-5.07401	-5.22804	-5.93271
-5.54757	5.60522	6.98702
-5.22864	5.19336	5.86484
5.72086	-4.92779	-8.52539
5.54199	-4.87917	-7.78367
-5.09597	5.15444	-7.79653
5.17076	-6.13476	7.20789
-5.12142	-3.71296	-7.63695
-5.18732	5.86518	7.23717
-5.67362	-5.55014	-7.15857
-5.6577	-5.95499	-7.51515
-5.23252	-6.35884	6.97865
-4.8306	-5.39106	-6.77914
6.25874	5.91313	6.86803
5.77316	4.87093	6.8509
-5.29443	4.76605	-6.97162
4.79065	-5.60436	-6.15573
5.06982	5.96889	6.78866
-5.35614	5.69151	7.03759
5.08809	5.65498	-6.9768
-4.82415	-5.79586	3.28274
-4.50644	5.26024	-4.60576
-5.0617	-5.60569	-7.80159
-5.25934	-5.41928	5.80728
-4.84588	-5.49204	7.0972
4.82895	5.2178	5.52509
-4.80661	-5.36232	6.60639
4.76997	4.99677	-6.42464
-4.95298	-5.14541	4.8488
-4.50853	-5.15378	6.67752
-4.896	3.86437	7.12187
-5.34307	-4.62597	-6.63842
4.3441	-4.40439	4.71161
5.40644	4.31316	7.41696
-4.70216	4.43903	6.41859
4.29685	-4.35963	5.61909
4.66967	4.96505	-6.48024
-5.5624	4.62181	-5.81023
-4.78207	4.4967	6.92554
4.34468	-4.81712	7.69021
-4.53819	5.52082	7.54993
4.47627	-4.88412	-5.47146
-4.82967	4.49129	7.09942
-4.26398	-4.92656	6.86073
-4.80351	5.70467	6.81314
-4.59399	-4.86608	8.20677
4.5773	4.29688	-6.392
-5.36465	4.86075	6.25174
-3.65752	-5.07755	6.33446
4.24213	6.765	-5.97098
-4.33291	7.31636	-7.50567
5.12368	-6.20108	7.35969
-4.09083	-4.47513	-6.89655
-4.29792	4.18739	-6.83231
-4.67447	5.13326	-6.5188
-5.25239	-3.31404	6.79333
-4.79367	-3.29969	4.73655
-4.7004	4.03256	-6.15473
4.40297	-3.40416	-6.37081
-2.1737	-4.04303	6.84864
-4.03485	-5.24938	3.90336
-3.86337	-2.87143	7.37217
-4.30669	4.96573	4.99366
3.09773	-3.55893	5.80436
5.35845	-3.79015	-5.88697
4.03807	-4.34526	-7.05688
3.59079	5.33855	6.12811
-3.61647	-5.22394	6.48662
3.34973	4.78024	6.16329
-2.59793	4.13722	-5.14131
3.91283	4.65453	5.87023
-3.43319	-4.23778	-5.28909
-1.48558	5.63517	-5.45918
1.48499	4.32315	0.328603
0.429416	3.84254	-5.29638
-0.531321	4.6793	-3.70423
-3.96599	-4.34263	6.79264
-2.9212	4.34292	-6.12252
-1.95592	-4.5271	-6.39289
-3.48146	-5.1156	6.64267
0.282988	4.73722	-5.47767
2.59359	-4.76525	-6.45632
-4.35992	-4.89983	-1.49635
-0.97073	4.37203	-5.75469
4.69357	6.10021	6.89526
-3.57439	-3.68845	6.51442
2.71092	4.81719	5.40776
-2.07786	-5.96779	7.89672
2.09228	5.32483	6.91165
-3.21315	5.29665	-7.84061
5.60357	5.20162	-7.84537
4.07563	-4.86851	-7.67489
2.0073	4.96381	6.23139
-4.0145	-5.23084	-6.87428
-4.27834	5.04625	7.2357
-4.2895	5.08653	5.70596
3.84374	5.09652	7.80882
-3.93669	-4.61082	6.4994
5.63177	-4.63278	-6.64712
-4.66474	-4.85119	6.67316
-3.67192	5.72668	-7.15138
3.61613	-4.65529	-7.0679
-4.04414	4.69918	-6.26381
-4.06257	4.70146	6.48012
4.7007	-6.31734	-5.89265
5.94623	-5.62784	-5.95592
5.89652	-6.07121	-7.5921
-4.0458	-5.33784	7.69598
2.93881	2.39025	-7.30255
4.50188	4.42247	7.32764
3.10163	3.88863	-6.04543
-3.40435	5.73002	7.77166
5.97767	3.67897	-6.30901
4.56672	-1.68938	-6.71219
6.53558	3.94126	7.28186
-3.48935	-3.27046	-8.20897
-5.07421	-1.73143	-7.33506
4.72986	2.70012	-6.86691
3.56579	-0.9175	-7.003
3.78545	-3.36413	7.18082
3.78849	3.27952	-7.7639
4.65641	2.17128	7.41062
4.43963	3.66837	7.61136
4.20417	-1.54184	-8.06533
-5.80019	-3.9031	8.34151
-5.1225	-2.75347	-8.01116
-4.63997	2.39934	-8.40331
6.83898	-2.36816	8.05899
6.6785	-1.11155	-7.91311
-6.96814	4.64149	8.16717
-4.21298	-5.21492	8.08973
-5.19587	-1.51285	-7.87001
6.91712	-2.72271	-7.96948
-6.19752	-3.69057	-7.76592
4.04568	-2.44341	7.75876
-6.45814	3.4132	-8.04095
5.70642	-4.01216	-8.44369
-5.66126	3.0867	-8.09979
5.44454	-4.65933	7.85647
5.18165	-3.32005	8.15945
4.95067	-0.337426	7.88919
5.94287	-5.086	7.98598
6.2769	-3.83123	-7.98726
-3.62408	-1.04823	-7.95203
3.55045	-3.82011	-7.86571
4.28513	-1.92062	-7.85999
-5.24057	2.14509	-8.24304
4.92805	-0.848727	8.42658
-5.74814	2.40042	-8.14333
6.83629	-2.7273	-8.04684
5.8454	4.33101	8.30721
-5.58583	-3.99825	-8.27526
7.26266	4.04328	-7.94941
6.88181	-5.27686	-8.47752
-5.11455	3.81513	7.54874
4.99697	4.53573	7.63271
6.97386	4.5861	7.36699
5.32632	-4.84127	8.14543
-4.96777	-5.37662	8.21698
5.6721	4.30388	-7.60758
-5.90378	4.05535	-7.22728
-6.26344	-3.77377	7.53634
-6.26187	2.16489	-7.61044
-7.08983	-2.52872	7.76487
-7.19562	-5.21677	7.81393
6.28301	-4.8059	7.42018
6.61918	-5.49653	-7.81201
7.09372	-4.99448	-8.06307
7.44328	-4.57085	-7.8441
7.46839	-4.09559	-7.83056
6.94097	4.52784	-8.24885
7.75211	4.58669	-8.00413
6.86042	-6.98788	-8.07819
-7.41775	3.94513	-7.74426
8.16391	-3.56396	8.38997
8.10643	4.19237	-7.94401
7.18413	2.92815	8.05351
-6.88756	3.34452	-8.07182
8.19949	4.80967	8.20718
7.22766	2.58788	-8.27528
-7.48576	-4.21313	8.12776
-7.21452	-3.76033	7.98288
-7.75981	-3.95121	8.2435
-7.20419	-4.38591	-8.16251
-7.17961	4.63733	-8.42373
6.87027	-3.31207	8.49512
7.19661	3.03066	-8.14262
7.01077	2.00962	7.92482
7.10386	3.06422	-7.9692
6.74694	-3.81159	8.15647
-7.22067	2.98363	-7.97856
-6.76016	-3.76606	8.18863
-7.44785	4.35811	7.92853
7.50285	-5.15918	-7.94311
-7.18244	-4.08427	8.18521
-6.8754	-3.57966	-8.37279
6.92583	3.80495	8.37366
-7.76809	5.46762	8.145
-7.51377	-6.03887	-8.19455
-7.41677	4.50356	-8.45777
-7.34577	-4.79526	8.51089
7.1991	4.73043	8.47126
-7.5417	-4.54767	-8.44382
7.57258	4.4355	-8.16365
-7.44425	5.15148	-8.35338
-6.76648	4.95931	-8.09536
-6.81959	-3.89134	-8.02401
6.51277	-4.03784	-8.11511
-6.35884	-4.81973	-8.31472
5.23767	3.9232	8.2147
-5.82151	4.7778	8.14399
-5.42612	-4.29433	8.07713
5.73854	-4.19498	-8.35526
-6.55287	4.09627	-8.38655
6.04231	3.9336	-8.38039
5.84719	-4.13791	-8.35215
-6.63069	4.48677	-8.53616
5.79307	4.64478	-8.53132
-7.49619	-4.83856	-8.31575
-6.13063	-4.84972	-8.45099
5.69032	-3.57621	8.3765
-6.18946	3.58262	-8.4999
-6.11894	-4.75752	8.5319
6.79219	4.74188	-8.54041
7.22704	-3.20306	-8.56076
5.79385	-3.25923	8.49517
7.10517	-3.35928	8.51095
5.96239	-3.35398	-8.45841
5.34857	3.94518	-8.40121
5.76585	3.40624	-8.49004
6.13993	-3.71232	8.4831
-5.38062	4.47162	-8.4148
5.14493	4.11805	-8.38543
6.66545	0.876407	-8.37976
6.51997	-2.70509	-8.34038
6.45629	-2.70232	8.34942
-5.90167	-4.02393	-8.52809
5.27984	4.86154	-8.47516
-5.08264	0.906055	-8.4591
6.08612	-2.90871	8.56796
6.24664	2.61889	-8.28996
6.23577	-3.98129	8.31874
-6.5586	-1.56126	-8.20337
-5.99753	3.53823	-8.17854
-7.125	-4.04841	8.43881
-6.25506	3.85865	8.24713
7.02126	4.2091	-8.53678
-5.85357	4.00998	-8.45193
-6.23542	3.31705	-8.50043
6.19882	-3.21803	-8.27285
-6.59208	-3.83083	-8.03861
6.05436	3.10088	8.29218
-4.98487	2.40055	-8.46985
4.7566	-4.01306	8.35122
-4.76272	3.58504	8.23045
-4.83271	2.09097	-8.31725
4.49609	4.40901	8.21064
-5.9345	5.46229	-8.16113
6.43376	6.22018	8.174
-6.64757	-6.88699	-8.12685
5.56307	5.4373	8.20166
4.64341	-6.26566	8.17816
-4.72665	-5.28172	-8.37516
-4.92193	6.57877	-8.19254
5.90439	-5.52642	-8.4899
5.21861	4.38708	-8.40065
4.88832	-5.87848	-8.42237
5.03902	7.61483	8.42502
-5.82345	6.52928	-8.32488
5.75165	-6.62903	8.2919
-5.74376	7.32831	8.38115
-6.04603	6.12546	-8.27568
-5.73616	4.96785	-8.16568
5.76795	-5.01911	-8.17118
6.23349	-5.72092	-8.14055
7.36285	-6.36485	8.1725
-6.69387	-6.92609	8.11223
-5.71777	-6.96456	7.98238
-6.11023	6.41424	7.82848
-3.86419	-6.93365	-8.14368
7.13544	-5.53538	-7.88616
5.14045	-6.12464	7.79308
-5.45416	6.90204	-7.71027
-5.54019	6.4394	-8.1045
-6.61041	-5.28949	-8.25043
6.29569	6.41072	7.81438
7.28599	5.47497	-8.00375
-6.84779	4.73157	8.21558
-5.97567	5.60355	7.54829
-6.25391	-7.2214	-7.96657
6.41246	5.40078	-7.84156
6.79347	-4.88304	7.87974
5.32554	-4.82486	8.04304
6.52807	4.80023	-7.96944
6.41577	-5.69359	7.75332
-7.0013	7.36991	7.64565
5.72161	-5.00823	-7.60342
6.82789	0.71883	8.28685
-4.11087	-5.47474	8.14255
6.0471	5.84295	-7.68365
-6.75132	-5.26009	7.89609
7.41427	4.11204	-7.55964
4.80992	4.44377	-8.15063
-5.11972	-4.90639	7.94563
4.21884	4.81298	7.37703
7.38305	5.37814	7.4385
6.34823	-4.70586	7.34194
-5.16053	4.66326	-7.60973
7.92147	7.23983	-7.49048
-7.23575	6.99329	-7.47168
5.15065	-7.18319	7.28875
6.32082	-7.82707	7.37872
-7.39275	7.40192	-7.32596
-8.09718	6.62806	7.30394
7.33702	2.84883	7.61378
6.95593	-5.87522	6.73985
-6.8739	-3.3515	-6.57125
7.55127	-6.126	-6.64139
-7.11731	-5.10012	7.22534
-7.66664	-6.36796	7.79954
6.38339	7.15183	7.04573
-6.09707	6.21402	-6.61841
-7.64642	4.4497	-6.98935
-6.35913	5.3655	-7.2005
-7.1735	6.77037	6.857
-7.0736	-6.61342	-6.44529
-7.25995	6.35448	7.05579
8.38522	7.28997	7.44005
-7.42396	4.07174	6.55437
-7.16562	-6.03756	6.88844
-7.58462	-7.55375	6.5441
-7.11316	-8.24563	-7.50461
7.61035	6.59113	6.91714
7.13545	6.34902	7.67258
7.34158	5.93224	-6.54858
7.05898	-5.27525	-5.19676
-7.23096	6.66074	-5.90265
7.69057	-5.05822	-6.47084
-7.40567	5.1953	6.56965
-8.15809	-5.32369	6.19044
-6.72212	5.27551	-6.13989
-6.90909	5.46746	-6.14334
-7.00304	5.36642	6.08517
-8.19982	-5.38619	3.43049
-6.87579	5.39446	-7.33816
-6.75575	5.50293	-7.2904
-6.703	5.51556	-6.03985
-7.8114	5.41595	-5.15051
-6.68496	6.36008	-6.63134
-7.22592	-4.2261	-6.43565
-8.3716	-5.09395	-5.99891
7.44057	3.9982	-6.01173
-8.06912	5.86626	-3.59742
-7.17148	-3.84032	-7.01548
-7.27481	-5.60624	8.02566
7.78842	-3.15432	5.55263
-7.81007	3.14397	5.67838
-6.96666	-3.22871	6.93859
-7.51952	3.2486	6.70373
7.6488	3.51902	5.2938
-7.04356	3.90973	-8.18739
7.12656	-3.90424	-7.8362
-7.59358	3.94362	6.96916
8.36869	2.88146	-7.7446
-7.8832	-2.93401	4.25036
-7.42417	-0.589474	4.98233
-7.91537	-3.87954	7.123
6.22464	4.26748	5.16247
-8.31013	-3.06313	5.85703
8.53032	2.58695	6.49966
7.86593	-2.56196	-6.72483
-6.21166	-0.0216149	-4.71122
-6.81814	-0.622659	2.97106
-7.4206	3.24965	-6.25161
-6.34785	-3.07237	-3.41204
-6.8469	2.74207	-5.32021
6.45759	-2.54925	-4.88462
6.80977	3.12966	8.3128
6.43425	-4.47376	-7.35548
5.71855	-4.19828	-7.00676
-7.16743	-1.92321	6.94613
6.81362	4.72667	7.17187
6.55802	-3.38869	6.45538
7.60272	3.39321	-6.22277
7.01118	4.1552	-6.84618
-6.41373	-4.39584	-7.67414
6.70765	-4.46148	-7.1127
-6.11422	4.53309	7.22801
-6.55917	-2.78862	7.1506
6.30929	-4.16904	7.68295
5.50931	3.84865	-7.77678
5.57121	1.89098	7.36968
5.57801	-3.79619	-7.55865
-7.57517	3.53466	8.0551
-7.01637	3.728	-8.13575
-6.47193	3.98797	-7.83154
6.67901	-3.42925	-8.48299
8.2185	-3.34277	-6.97886
6.36022	-6.40298	-7.83154
7.40364	6.30601	-7.3199
6.43654	-7.63367	7.62788
-6.89268	7.69837	-8.18695
-7.38824	5.31692	-8.06522
-6.38476	-4.97426	7.55041
7.53097	-6.00789	-7.72201
6.14559	5.54296	7.99458
-6.68345	5.16379	8.07062
6.04054	5.31657	-7.54137
-5.94449	-5.60949	7.52548
7.54664	-5.53816	-8.195
4.56882	5.46884	-7.15447
4.17609	-5.32615	-7.43752
5.573	5.03109	-7.36276
-6.27084	5.27987	-7.12461
7.72435	-5.20318	-7.74173
-6.31668	4.86114	-7.34413
5.88592	4.86908	7.35736
7.61255	-5.08841	-6.52432
-6.72318	-5.0672	7.4558
-6.69622	-5.86713	7.50917
-6.60593	-4.37276	-7.10543
6.05513	-5.31254	-7.21373
6.00876	-5.2247	6.65781
5.90351	-4.83363	-7.08374
-7.48338	-4.28383	7.72765
-6.28533	5.62973	7.73176
6.59974	-5.02661	7.14917
-8.50801	4.80055	7.36154
-7.00961	-5.62861	-6.6015
6.81376	5.36991	7.17329
-6.6714	5.36646	-7.00535
7.78858	-5.0162	-7.02761
7.14262	5.32874	-5.80709
-6.06103	5.01691	8.14311
-6.65366	-4.97444	-8.44061
-6.45272	4.68636	-8.25099
-5.83128	-4.72719	6.85225
-6.50714	-3.66309	6.0939
7.09382	-4.6533	-7.75142
-7.07544	-5.59507	-6.65377
-6.91602	5.4505	-5.19973
-6.61851	-4.91637	8.28482
-6.36984	5.02565	-6.25842
-6.2588	4.97694	6.67446
-6.6923	4.9535	-7.84764
-6.86132	5.17917	-6.86925
6.46212	-5.20497	6.55446
8.06956	-4.84149	6.72519
7.46583	5.06996	-7.03253
7.352	4.47785	6.19461
7.10463	4.66126	6.21725
6.69048	4.32709	6.75049
6.81183	4.93402	7.63744
-8.49037	4.70162	7.47634
6.82637	-4.6386	6.93468
-7.11345	5.23117	-7.31729
-7.03993	-4.8193	-7.50233
-6.80526	4.85979	7.23803
6.70591	5.87934	-6.45214
6.97647	4.65976	-7.32301
6.53053	-6.94357	7.00527
-6.90601	6.44965	7.04632
-5.96975	5.48825	-6.3051
-5.63219	-4.87011	-7.17448
-5.75055	6.42225	7.16097
5.13539	-4.88781	7.27025
-4.99325	-6.70699	6.47926
5.46692	6.00935	6.71472
-6.45413	6.92664	-7.13743
-6.05977	-5.91632	6.43813
-5.52096	4.83655	-6.64622
6.12234	-5.33364	5.39901
-6.77809	7.19446	-5.69042
6.49631	4.74858	-7.51962
-6.69741	-4.96455	7.90812
8.32895	7.69682	6.73591
-4.85322	5.86334	7.02724
-5.6602	-4.94452	7.74963
6.70361	-5.95023	7.55987
-6.01169	-4.78186	6.23912
6.33045	-2.32718	7.62528
-6.15352	-5.04849	-6.59272
-5.92623	-7.41583	5.65873
-7.65804	-6.88581	-6.95945
-6.23808	-6.80466	-6.44336
4.38875	6.58991	3.60132
4.94284	6.36511	6.52641
-5.39545	-6.12007	-7.22141
-6.70256	6.13723	6.67201
6.316	-6.25988	-8.49627
-6.48653	-5.91206	-5.96606
6.45356	-6.06022	-3.81266
5.65473	-6.30925	6.85434
-6.12145	6.17155	6.55181
-6.02314	-5.90556	3.93475
-5.24303	5.53047	5.67623
6.60284	6.10677	4.83918
6.68697	-6.10965	5.30069
-6.36137	-5.78687	-5.87574
6.57924	-5.7097	-5.34516
8.28933	5.65759	-4.91435
-6.88565	5.64355	7.2367
6.7246	-6.27597	-7.5016
7.19605	-4.96141	-6.04927
6.21289	5.00836	5.79038
6.97483	6.45605	-6.67838
5.66066	6.41708	-5.08779
5.93413	-5.0827	-5.25953
-5.12895	-4.90807	-4.64566
-5.02187	-5.11616	4.46621
-6.22557	-5.17155	4.29504
-6.2526	5.49572	-4.90692
-5.56378	5.76679	-4.39734
-7.02976	-5.07593	4.09975
6.39144	4.68095	4.76982
7.0398	6.02152	-4.32655
7.36527	-4.82413	-4.24628
-7.04059	4.83084	4.40621
-7.28996	-4.43368	4.06455
-5.23028	-5.16464	3.14764
-6.45701	4.69016	4.47281
-7.30225	-4.40692	3.76664
-6.54862	4.59986	3.9104
6.13247	5.33345	-3.91692
-6.25669	-4.58614	-4.61039
5.01108	-4.40356	4.74261
-6.61776	4.1297	-4.0683
6.1211	5.31126	5.40423
-5.5694	-4.81507	-5.03345
-6.18697	3.93337	-5.7345
-6.30818	-4.14234	-5.73452
-7.17759	3.85134	5.32338
5.60351	4.94943	-6.03096
5.9793	-4.67512	5.38245
-5.97647	-4.62118	4.26263
-4.85967	-4.80218	4.93195
5.25313	-4.73588	-5.13199
5.19961	4.41968	-4.89465
6.64709	-4.78184	-4.90052
-5.58925	-3.97959	-5.02267
-4.36658	5.30835	6.74421
-6.26408	5.28005	6.10124
-3.54403	-6.26144	6.65713
-6.17954	4.06503	6.70298
-3.5326	5.61096	-6.82889
-7.00367	-4.81742	6.92026
-4.21111	-5.06054	-6.06576
5.93842	-5.02354	5.43795
6.28256	4.65831	-5.11273
-5.86774	4.80086	6.15924
-4.97034	-4.76615	-5.81242
4.50966	-4.95828	-6.27595
5.2343	-5.28316	6.02901
-7.06733	-6.15097	-6.74883
-6.63824	-7.46612	-6.03057
6.22406	-6.58646	5.07682
-4.75371	-6.80882	-7.32649
2.65073	6.46552	-7.0572
-4.24129	-5.54967	6.72799
-5.1926	-8.14205	5.14018
-5.00551	6.926	-6.76659
-5.61704	6.85383	-5.67817
-1.23962	-7.2746	-7.22418
6.68145	-5.60515	-6.91089
-3.96225	-7.31371	-6.8563
4.40196	6.02347	4.68652
4.55399	-7.11615	6.22883
3.12727	6.23817	4.05298
5.62776	-4.20097	4.38647
-3.45206	3.72024	5.93615
4.17766	7.25786	-6.76355
4.31539	6.8572	7.11855
-6.48657	5.96892	-7.5028
-1.75212	6.78909	6.77005
-4.74388	-6.88445	-5.6451
6.06055	8.39412	6.08866
6.5363	-7.46037	5.79122
-7.47841	6.724	5.77411
-6.45401	7.22576	5.87494
7.09525	-7.03395	5.05742
-5.10962	-7.02099	-4.59007
7.23552	-7.00963	4.6911
-6.8829	-7.88952	-5.67849
6.02212	-7.85658	-3.27329
-3.10881	7.52297	-4.54926
2.41629	7.83633	6.72753
6.55339	6.93386	-6.37709
4.54634	-7.07482	-6.33507
6.46654	-7.31062	-7.67227
-5.58595	-6.88002	-8.12851
-4.76419	-6.81021	7.46165
5.33163	-6.19967	-7.84724
6.83299	-7.92827	7.58399
6.35158	-7.02923	-7.96882
-4.11062	-7.05918	7.27986
-3.86699	6.08204	7.06597
-5.25968	6.54353	-7.29178
4.13198	-6.24187	-7.76796
-4.15678	6.23585	7.26033
3.42603	-5.75743	-7.30935
-4.31406	5.96548	7.43506
-3.60554	5.96515	7.36854
4.24068	5.95834	7.2141
3.33463	6.13028	-7.10632
4.37364	-5.65971	-7.06248
4.02195	-6.02007	7.38412
-4.37759	-7.81868	6.74906
-3.92543	6.39492	7.45516
-4.03374	-7.549	-7.31679
4.88493	8.32642	7.69294
3.03296	6.32776	-7.4498
4.84812	6.8689	7.37581
1.77066	-6.58676	-7.378
1.4887	7.91669	7.30725
-2.49748	-7.24341	7.2474
-1.86148	8.42172	6.8258
2.94628	-8.506	-7.71485
-2.87531	-7.67649	-7.57196
-3.10458	-7.7858	-6.95067
-3.4699	7.29191	7.37577
3.52284	-7.64001	-6.51856
-2.29437	7.12989	-7.59237
-2.25836	7.258	6.90033
-2.06103	6.83825	-7.14901
2.11595	6.83393	7.40939
-3.12999	7.27658	7.62054
3.90725	-7.96647	-6.67001
2.15607	-6.95259	7.69354
-4.2925	-7.15516	7.42756
-3.44131	7.59564	-7.4624
3.39323	-7.10526	7.69547
2.91279	7.71269	-8.28114
-3.05129	7.94674	-6.69523
3.90306	-7.46098	6.70612
2.76841	7.33769	7.11309
3.44134	-7.75129	6.42775
3.66053	7.43887	-7.50159
-5.544	-7.60819	-6.99267
4.40072	7.78718	6.73206
-3.96464	7.26284	-6.69537
-4.43452	8.34568	-6.73346
2.59002	8.01366	-6.56543
-2.56206	7.6271	5.70617
-2.70348	-8.15782	8.10952
-3.28888	7.98586	6.46877
2.78634	-7.81246	6.10687
2.67275	7.73273	6.29254
-2.32386	8.35607	-5.94543
4.91757	8.12167	-7.79303
-3.54446	-8.00652	-5.99968
3.72834	-8.184	-6.1751
-4.95965	7.52087	7.11015
-3.99034	7.48082	7.09897
-3.50724	-7.53596	6.90219
4.49596	-8.04184	6.10498
4.32462	8.3715	-5.16815
3.21709	7.68515	-5.46825
-3.58161	-8.16167	5.00576
3.48863	7.44385	4.81241
3.14991	-7.90806	4.28911
-5.26165	-7.99446	-4.81308
4.26761	7.37176	-4.74416
-4.37585	-7.50457	-4.52914
-3.23111	-7.31681	5.82361
-1.40402	-7.85138	4.90063
-1.50163	-7.1869	4.46214
3.28726	7.55882	5.42114
3.56526	-8.16569	3.92868
4.91071	-8.28791	5.22258
4.23486	7.84156	4.91833
4.57137	-6.8668	-6.3986
-4.77755	8.01605	-4.78802
-4.77049	-7.32189	-5.88596
-5.06503	7.19687	5.52188
4.83289	7.87705	-6.45052
-4.27709	7.37854	8.1205
-4.21088	-6.491	-8.32294
3.31946	6.48533	-7.50061
3.70976	-6.92158	-7.30781
3.5891	-6.81175	-7.24527
-3.31301	7.08693	4.72486
-3.55224	-6.16189	-7.55039
0.554242	-5.62218	5.64559
-3.48528	-5.85828	-7.29796
-3.02007	7.22881	5.63259
-4.07861	7.76876	-7.22463
-0.723067	5.35565	-6.58037
-0.978614	6.43616	-6.13131
1.37631	-7.15069	6.23408
1.2022	-7.17987	6.93009
0.450631	-5.96973	6.84518
0.250417	-4.87879	-6.20187
-4.34173	4.96343	-6.52836
4.03506	5.46697	8.30084
4.41768	7.04378	-4.37827
-3.1623	-6.65931	-3.86827
4.36846	-6.42751	6.64036
-5.06469	-6.56585	6.65588
-4.02204	-5.62973	7.19189
4.47959	7.18718	-4.31671
-4.37741	-8.23156	6.17537
4.99319	-7.41311	6.68019
-3.68545	7.29691	7.25119
-4.08502	-7.71872	6.63258
6.07443	7.17733	7.10491
4.01003	-7.17233	-6.82938
-4.63429	-7.62359	7.37772
3.77809	7.19301	-7.19863
3.07392	-8.24232	-7.30739
3.47611	-6.13265	-7.69805
3.00394	6.07321	-7.0326
-6.12496	-7.0654	7.26873
-5.9134	-5.83365	-7.60113
-2.53201	-4.48517	-7.26391
3.21097	-6.20859	-8.46137
4.02852	-7.54106	7.88114
-4.36867	-4.8773	6.72103
